date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:32	678/678	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%224d3351e3=604%22	http://old.nordicosenadopcion.com/robots.txt		(from )
11:29:34	29894/29894	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:26:42%20+0000	http://old.nordicosenadopcion.com/	old.nordicosenadopcion.com/index.html	(from )
11:29:35	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%224d334e0f=47e%22	http://old.nordicosenadopcion.com/sites/default/files/favicon.ico	old.nordicosenadopcion.com/sites/default/files/favicon.ico	(from http://old.nordicosenadopcion.com/)
11:29:36	29900/29900	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:27:49%20+0000	http://old.nordicosenadopcion.com/inicio	old.nordicosenadopcion.com/inicio.html	(from http://old.nordicosenadopcion.com/)
11:29:37	29900/29900	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:27:51%20+0000	http://old.nordicosenadopcion.com/node/1	old.nordicosenadopcion.com/node/1.html	(from http://old.nordicosenadopcion.com/)
11:29:37	7257/7257	---MCZ	200	added ('OK')	text/css	etag:W/%225ade27b0=1d08%22	http://old.nordicosenadopcion.com/sites/default/files/css/css_5XB5aQOGzDUVxnwtHDXg0AJDjmjZbe2Sh1K2BEkR5cM.css	old.nordicosenadopcion.com/sites/default/files/css/css_5XB5aQOGzDUVxnwtHDXg0AJDjmjZbe2Sh1K2BEkR5cM.css	(from http://old.nordicosenadopcion.com/)
11:29:38	2461/2461	---MCZ	200	added ('OK')	text/css	etag:W/%225ade27b0=9e7%22	http://old.nordicosenadopcion.com/sites/default/files/css/css_vV7PY5rBhciHLGpqpK-6TPsbBDwWrqO9BaWG3pWASNk.css	old.nordicosenadopcion.com/sites/default/files/css/css_vV7PY5rBhciHLGpqpK-6TPsbBDwWrqO9BaWG3pWASNk.css	(from http://old.nordicosenadopcion.com/)
11:29:39	3095/3095	---MCZ	200	added ('OK')	text/css	etag:W/%225ade27b4=c53%22	http://old.nordicosenadopcion.com/sites/default/files/css/css_qNZppNOwK4PgBpfXFgkMTk3vc7kduSx0_b7LIYn5OhU.css	old.nordicosenadopcion.com/sites/default/files/css/css_qNZppNOwK4PgBpfXFgkMTk3vc7kduSx0_b7LIYn5OhU.css	(from http://old.nordicosenadopcion.com/)
11:29:40	25853/25853	---MCZ	200	added ('OK')	text/css	etag:W/%225ade27b4=64fd%22	http://old.nordicosenadopcion.com/sites/default/files/css/css_W7vlns02RogHNHiQUoRTUXd3EcPr7aaNTLiK17EZeGU.css	old.nordicosenadopcion.com/sites/default/files/css/css_W7vlns02RogHNHiQUoRTUXd3EcPr7aaNTLiK17EZeGU.css	(from http://old.nordicosenadopcion.com/)
11:29:41	477/477	---MCZ	200	added ('OK')	text/css	etag:W/%225ade27b4=1e9%22	http://old.nordicosenadopcion.com/sites/default/files/css/css_2THG1eGiBIizsWFeexsNe1iDifJ00QRS9uSd03rY9co.css	old.nordicosenadopcion.com/sites/default/files/css/css_2THG1eGiBIizsWFeexsNe1iDifJ00QRS9uSd03rY9co.css	(from http://old.nordicosenadopcion.com/)
11:29:44	82994/82994	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ade27b0=17368%22	http://old.nordicosenadopcion.com/sites/default/files/js/js_m1OCmgU-ZAMznppomtRk60DBslOowUbVG4K6gMKdwCM.js	old.nordicosenadopcion.com/sites/default/files/js/js_m1OCmgU-ZAMznppomtRk60DBslOowUbVG4K6gMKdwCM.js	(from http://old.nordicosenadopcion.com/)
11:29:44	17384/17384	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ade27b4=4b9e%22	http://old.nordicosenadopcion.com/sites/default/files/js/js_d8U7dhhGHrQnmcGcMMIVeYP_xmEYxGjK2oeLKwcsGg4.js	old.nordicosenadopcion.com/sites/default/files/js/js_d8U7dhhGHrQnmcGcMMIVeYP_xmEYxGjK2oeLKwcsGg4.js	(from http://old.nordicosenadopcion.com/)
11:29:46	29217/29217	---M--	200	added ('OK')	image/png	etag:%224d334e0f=7221%22	http://old.nordicosenadopcion.com/sites/default/files/logo_7.png	old.nordicosenadopcion.com/sites/default/files/logo_7.png	(from http://old.nordicosenadopcion.com/)
